Batman vs Superman	batman vs superman
I really don't. I was surprised to find out how the name facebook came about. Do you think Christy Lee brags about it?	nahi yar.. muje tho surprised huva jab facebook ka naam bahar aaya tho.. tho christy lee ke brags ke baare mein kya soch raha hein?
Perhaps.  I found it interesting that before Facebook, it was called "The Facebook."  Do you remember the co-founder of Napster?	tho facebook tho interesting hein, mein tho usse THE FACEBOOK hi bolta , kya aapko napster ka cofounder yaad hein?
Yes. He actually made them drop "The" from the name to become just Facebook.	Han. Usne vaastav mein "The" ko nam se hta diya sirf Facebook banane ke liye.
Do you remember where they moved to in California when they started the company?	Kya tumhe pta hai ki wo California mein kahan gye jab unhone company start ki thi?
I believe they used the house as the company headquarters.	Mujhe lagt hai ki unhone ghar ka use kiya tha company headquarters ke taur par.
Do you remember how much academic probation Ma rk Zuckerberg got?	Kya tumhe yaad hai ki Mark Zuckerberg ko kitni acedemic probation mili thi?
Yes. I hear silicon valley has one of the higest rates in rent	Han. Maine suna hai ki silicon valley mein sabse zyada rent rate hai
yeah I think it was 6 months probation? correct me if I am wrong	han mujhe lagta hai ki 6 months ka probation? Mujhe sahi kar dijiye agar main galat huin to
Yes, it was 6 months of Academic probation.  I enjoyed how the narrative was inter cut with scenes from the deposition,  What did you like?	Han, wo 6 months ka Academic probation tha. Mujhe maja aaya ki kaise narrative ne inter cut ke saath scenes ki deposition ki, tumhe kya achha lga?
I liked the whole court process. I think everyone came out a winner	Mujhe saari court process achhi lagi. Mujhe lagta hai ki sabhi winner bane.
I agree.  Everybody got rich.  Do you remember that last scene when Zuckerberg kept refreshing his old girlfriend's page?  I liked that.  What scene did you like?	Main sehmat huin. Sabhi ameer ho gye. Kya tumhe wo last scene yaad hai jab Zuckerberg baar baar apni purani girlfriend ka page refresh krta rehta hai? Tumhe konsa scene pasand aaya?
I particularly liked the scene where Zuckerberg hacks into the different college database to steal photos because it portrayed computer programming accurately. 	Mujhe vishesh roop se wo scene pasand aaya jahaan Zuckerberg ne alag-alag college database mein photo churaane ke liye hacking ki kyonki ismein computer programming ko sahi tareeke se portray kiya gya tha.
That was lame of him. But we all have our days	voh tho uska hi galat hein. sabhi ko apni aap hota
looking for a movie to watch, have you seen any good ones?	ek philm dekhane ke lie dekh rahe hain, kya aapane koee achchha dekha hai?
There is this one I saw recently with Benedict Cumberbatch - I liked it but it was not accurate historically speaking... 	yah ek aisa hai jise mainne haal hee mein benedikt kambarabaich ke saath dekha - mujhe yah pasand aaya lekin yah aitihaasik roop se sateek nahin tha
What was the name of the movie?	philm ka naam kya tha?
The Imitation Game	nakalee khel
How inaccurate was it historically?	aitihaasik roop se yah kitana galat tha?
If You like historical movies like that I mean - Benedict was awesome btw	yadi aap aitihaasik philmon ko pasand karate hain, to mera matalab hai - benedikt bhayaanak btw tha
well quite	achchhee tarah se
if you watched it as pure fiction was it worth siin?	yadi aap ise shuddh kalpana ke roop mein dekhate hain to kya yah seen ke laayak tha?
seeing?	dekh ke?
What he did - brake the enigma code - in this movie it said ONLY him did it by creating this deciphering machine - where in fact, he used algorithms of Polish Mathematicians  - google it.  	unhonne kya kiya - enagama kod ko brek karen - is philm mein yah kaha ki keval unhonne is dikreephaayaring masheen ko banaakar kiya - jahaan vaastav mein, unhonne polish ganitagyon ke elgoridam ka upayog kiya -yah google kar lijiye
It wasn't "pure" fiction. It was just inaccurate, but yes, I liked it and	yeh pure fiction nahi hein... yeh inaccurate hein magar muje pasand hein
Very interesting, I will	muje bhi pasand hein yar
Keira Knightley - I will watch anything with her ;	keira knightley ke saath kuch bhi mein watch kar sakthi hoon
:)	ha ha ha
i wiil watch it	mein bhi dekhungi
Do You like historical movies like that ? re You British by any chance ?	tuje bhi historical movies pasand hein kya? are tu british hein na?
yes, but i am not are you	haan yar, magar tu?
I'm Polish :)  that's how I know these facts about that part in history ;)	mein polish hoon.. is liye muje iska history patha hein yar
interesting, i am italiian	acha mein italian hoon yar
Machine he build was actually VERY visually similar to the original one	usne voh machine ko original ke tarah hi build kiya hain
they did a great job with that	unhonne isake saath bahut achchha kaam kiya
I will google the history	main itihaas ko googal karoonga
that is cool,	vah shaant hai,
the machine was working a little bit different though - it was based on mathematical algorithms and not really "words" recognition. they made it look "easy" for the hollywood ;)	masheen haalaanki thoda alag kaam kar rahee thee - yah ganiteey elgoridam par aadhaarit thee aur vaastav mein "shabd" maanyata nahin thee. unhonne ise holeevud ke lie "aasaan" banaaya;)
is it attention grapping	kya yah dhyaan dene yogy hai
that is hollywood 	vah holeevud hai
they do that often	ve aksar aisa karate hain
big part of this is drama and action - MI6 agents involved in this whole operation etc. I think You would like it	isaka bada hissa naatak aur ekshan hai - is poore opareshan mein shaamil emaee 6 ejent aadi mujhe lagata hai ki aap ise pasand karenge
i definitely am thinking about seeingit	main nishchit roop se dekh ke baare mein soch raha hoon
I think they overestimated British role in that time... just saying ;)	mujhe lagata hai ki unhonne us samay mein british bhoomika ko kam kar diya ... bas kah rahe hain;)
that's why I asked You if You were British :) I didn't want to offend You	isliye maine pucha kya tum British ho :) mein tumhe offend nahin karna chahti
i wont hold it to be fctual  	main use factual nahin bata sakti
hi	hi
see any good movies lately?	koi achchi movie dekhi hai abhi abhi
hello?	hello?
Hey! Not really, I just Batman vs. Superman. The 27% Rotten Tomatoes score is fitting.	Hey, really nahin. Sirf  Batman vs. Superman. 27% Rotten Tomatoes score bilkul theek hai.
oh, i havent seen that one, tell me more	Oh, woh maine nahin dekha, aur batao.
why was it so bad?	Woh kyon itna bad tha?
Well, it's the sequel to Man of Steel. There's a lot of meaningless action and not much else.	Achcha, woh Man of Steel ka sequel hai. Usme bahut meaningless actions hain aur khas kuch nahin,
Hello. Did you see the movie How to Train Your Dragon?  It was so cute!	Hello. Kya tumne wo movie dekhi How to Train your Dragon? Wo itni cute thi!
Yes, I didn't know there were so many people in it.	Haan, Mujhe nahi pata itne saare log hai usme
I know the cast is great!  I am a big fan of Gerard Butler	I know! cast badhiya hai ! Main Gerard Butler ka bahut bada fan hu
He's really good.  Craig Ferguson is always good for a chuckle.	Wo kaafi accha hai. Craig Ferguson bhi hasne k liye hamesha accha hai
Yes. The movie wasn't all fun and games though.  It was kind of a dramedy with a little bit of seriousness to it.	Haan. But movie puri hasi majak nahi thi. Dramedy type ki thi thoda seriousness tha usme.
Did you know America Ferrera was one of the voices?	Kya tumhe pata hai America Ferrera ne voice di hai
I did not.  She play Astrid, Right?	Mujhe nahi pata tha. Usne Astrid play kiya na, right?
Yes.  She's another student.	Haan, wo bhi ek student hai
The 3-D animation was top notch.	Wo 3-D animation to bilkul top notch tha
I agree.  Dreamworks Animation is always on top of their game.	Main agree karta. Dreamworks animation hamesha khel me sabse upar hai.
The critics  seem to agree.	Sabhi critics lagta hai agree karte hai.
The scene where Hiccup shoots the dragon down is kind of sad.	Wo scene jaha Hiccup dragon ko shoot karta hai, sad hai
Lets it go though.	Lekin wo use jaane deta hai
Yes.  Hiccups inventions are always going awry.	Haan. Hiccup k invention hamesha kharab hote rahte hai.
I was just thinking he pretty smart though, coming up with stuff being 15.	Main soch ra tha wo waise kaafi smart hai, 15 saal ka hone bawjood itna sab banata hai
I agree.  Very imaginative.	I Agree. Bhut imaginative.
I've gotta say it though.  Some of the names make me laugh.  Hiccup, Stoick the Vast, Gobber	Waise mujhe bolna padega. Kuch naam sun ke hasi aajati hai. Hiccup, Stoick the Vast, Gobber.
I know they are too funny.  Hiccup is a great nickname though.	Mujhe pata hai bahut funny hai. waise Hiccup bahut badhiya nickname hai.
Did your description just go away?  Mine did.	Kya tumhara description chale gaya ? Mera gaya.
Nope, I'm a slow reader though.	Nope, Main waise slow reader hu.
No worries.	koi chinta nahi
So you can't read the bit about a Caudal fin.  That's bit of toothless that tore off.	to kya tum caudal fin ke bare me thora par nahi sakte ,yah thora toothless v tore off
I can't see it, but I remember.  Poor toothless.	mai dekh nahi saktalekin mujhe yad hai .bechara toothless
I've got to google that.  I really do love this movie.  98% it's nice to know I like a movie others do to.	maine ye google me paya.muje ye moive vastav me pasand hai,98% ye achi hai  muje pasand hai dusro ka pata nahi
Yes.  That is a really high rating.  It has a great harmonious message at the end which is inspiring	ha .ye vastav me heigh rating hai.ant me bahut acha  inspiring sandesh hai
Reckon we're supposed to keep going.  Stoick straps toothless to the ship and goes off to fight the mega-dragon.  I've kind of felt that this was an old trope, but still works a bit.	reackon sayad  ham  dekhane jaye toothless maga -dragon se lara. muje lagaa ye yek old trope lekin ye thora kam kar gaya
I think we have to remember that is is for kids.  The fight scenes are really done well.	hame  yad rakhana chayiye ki ye bachho ke liye hai.fight seen bahut acche the
You're right.  That first critic says something about the areal battles being too much, but honestly I loved them.  I'm a grown man but still a kid at heart.	tum sahi te,phale critic ne kaha larai  jarurt se jayada ,lakin muje  ye pasan ayi.mai bara admi hu lekin mera dil bacche ka hai
Aerial* sry	Aerial sry
I agree.  The critics need to remember the child within.	mai sahamat hu ,critic ko apne ander ke bachhe ko yad rakna chahiye
I knew what you meant.	Mujhe jantha tumhaara matalab pata tha.
The finish conversation button came up.  Have a great afternoon!	Khatam vaartaalaap button aaya....aapaka dopahar achchha beete!
You too.	Aap bhi
Hello	namaste
hi	hi
The imitation game is a great movie	imitation game bahoot aachi movie hai
Hey! How's it going?	hey kya haal chaal hein?
How did you like Iron Man?	are iron man ko kaise pasand aaya?
Hi! I like the movie	hi.. muje is movie ko pasand hein
Did you like it?	kya aapko
I thought it was fun too.	haan thoda fun bhi hein yar
What was your favorite character?	tumhara favorite character kon tha?
Ofcourse it is Tony	nishchit roop se wo Tony hai
He's hard to beat I must admit.	Use harana mushkil hai main ye manta hun.
What was your favorite character ?	tumhara favorite character kon tha?
Probably Tony as well - he cracks me up with his deadpan humor.	Probably tony bhi bahut accha hai - usne mujhe apne deadpan humar se crack kar diya
I actually think it's the humor that helps the movie work out.	mujhe actually lagta hai ki wo humor hi tha jis se movie ko work out karne me help mili
